origin_city,united_cities
אבו קרינאת,אבו קרינאת
אבו תלול,אבו תלול
אבו-גוש,אבו-גוש
אביגדור,אביגדור
אביעזר,אביעזר
אבן יהודה,אבן יהודה
אבן ספיר,אבן ספיר
אבן שמואל,אבן שמואל
אבשלום,אבשלום
אדרת,אדרת
אוהד,אוהד
אום בטין,אום בטין
אופקים,אופקים
אור הנר,אור הנר
אור יהודה,אור יהודה
אורה,אורה
אורות,אורות
אורים,אורים
אורנית,אורנית
אזור,אזור
אזור תעשייה אפק ולב הארץ,ראש העין
אזור תעשייה באר טוביה,באר טוביה
אזור תעשייה ברוש,בית שמש
אזור תעשייה דימונה,דימונה
אזור תעשייה הדרומי אשקלון,אשקלון
אזור תעשייה הר טוב - צרעה,בית שמש
אזור תעשייה חבל מודיעין,מודיעין
אזור תעשייה כנות,גדרה
אזור תעשייה נ.ע.מ,נתיבות
אזור תעשייה נשר - רמלה,רמלה
אזור תעשייה עד הלום,אשדוד
אזור תעשייה עידן הנגב,להבים
אזור תעשייה צפוני אשקלון,אשקלון
אזור תעשייה קריית גת,קריית גת
אזור תעשייה תימורים,קריית מלאכי
אחווה,אחווה
אחיסמך,אחיסמך
אחיעזר,אחיעזר
איבים,איבים
אירוס,אירוס
איתן,איתן
אל סייד,אל סייד
אל עזי,אל עזי
אל פורעה,אל פורעה
אל-ח'וואלד מערב,אל-ח'וואלד מערב
אלומה,אלומה
אלון הגליל,אלון הגליל
אלון שבות,אלון שבות
אלוני אבא,אלוני אבא
אלונים,אלונים
אלישמע,אלישמע
אלעד,אלעד
אלעזר,אלעזר
אלפי מנשה,אלפי מנשה
אלקנה,אלקנה
אמונים,אמונים
אפרת,אפרת
ארז,ארז
אריאל,אריאל
ארסוף,ארסוף
"אשדוד - א,ב,ד,ה",אשדוד
אשדוד - איזור תעשייה צפוני,אשדוד
"אשדוד - ג,ו,ז",אשדוד
"אשדוד - ח,ט,י,יג,יד,טז",אשדוד
"אשדוד -יא,יב,טו,יז,מרינה,סיט",אשדוד
אשל הנשיא,אשל הנשיא
אשקלון - דרום,אשקלון
אשקלון - צפון,אשקלון
אשתאול,אשתאול
אתר דודאים,אתר דודאים
באקה אל גרבייה,באקה אל גרבייה
באר גנים,באר גנים
באר טוביה,באר טוביה
באר יעקב,באר יעקב
באר שבע - דרום,באר שבע
באר שבע - מזרח,באר שבע
באר שבע - מערב,באר שבע
באר שבע - צפון,באר שבע
בארות יצחק,בארות יצחק
בארי,בארי
בטחה,בטחה
ביצרון,ביצרון
ביר אלמכסור,ביר אלמכסור
ביריה,ביריה
בית אלעזרי,בית אלעזרי
בית אריה,בית אריה
בית ברל,בית ברל
בית גוברין,בית גוברין
בית גמליאל,בית גמליאל
בית דגן,בית דגן
בית הגדי,בית הגדי
בית זית,בית זית
בית חלקיה,בית חלקיה
בית חנן,בית חנן
בית חשמונאי,בית חשמונאי
בית לחם הגלילית,בית לחם הגלילית
בית מאיר,בית מאיר
בית נחמיה,בית נחמיה
בית ניר,בית ניר
בית נקופה,בית נקופה
בית סוהר נפחא,בית סוהר נפחא
בית עובד,בית עובד
בית עוזיאל,בית עוזיאל
בית עזרא,בית עזרא
בית עלמין תל רגב,בית עלמין תל רגב
בית עריף,בית עריף
בית שמש,בית שמש
בית שערים,בית שערים
בית שקמה,בית שקמה
ביתר עילית,ביתר עילית
בן זכאי,בן זכאי
בן שמן,בן שמן
בני ברק,בני ברק
בני דרום,בני דרום
בני דרור,בני דרור
בני נצרים,בני נצרים
בני עטרות,בני עטרות
בני עי''ש,בני עי''ש
בני ציון,בני ציון
בני ראם,בני ראם
בניה,בניה
בסמת טבעון,בסמת טבעון
בצרה,בצרה
בקוע,בקוע
בקעות,בקעות
בר גיורא,בר גיורא
ברוכין,ברוכין
ברור חיל,ברור חיל
ברוש,ברוש
ברכיה,ברכיה
ברקן,ברקן
ברקת,ברקת
בת הדר,בת הדר
בת עין,בת עין
בת-ים,בת-ים
ג'לג'וליה,ג'לג'וליה
ג'ת,ג'ת
גאולים,גאולים
גאליה,גאליה
גבולות,גבולות
גבים,גבים
גבע בנימין,גבע בנימין
גבעולים,גבעולים
גבעות,גבעות
גבעות בר,גבעות בר
גבעות עדן,גבעות עדן
גבעת ברנר,גבעת ברנר
גבעת השלושה,גבעת השלושה
גבעת וושינגטון,גבעת וושינגטון
גבעת זאב,גבעת זאב
גבעת חביבה,גבעת חביבה
גבעת חן,גבעת חן
גבעת יערים,גבעת יערים
גבעת ישעיהו,גבעת ישעיהו
גבעת כ''ח,גבעת כ''ח
גבעת שמואל,גבעת שמואל
גבעתי,גבעתי
גבעתיים,גבעתיים
גברעם,גברעם
גדרה,גדרה
גזר,גזר
גיאה,גיאה
גיבתון,גיבתון
גיזו,גיזו
גילת,גילת
גינתון,גינתון
גלאון,גלאון
גמזו,גמזו
גן הדרום,גן הדרום
גן השומרון,גן השומרון
גן חיים,גן חיים
גן יבנה,גן יבנה
גן שורק,גן שורק
גן שלמה,גן שלמה
גנות,גנות
גני הדר,גני הדר
גני טל,גני טל
גני יוחנן,גני יוחנן
גני עם,גני עם
גני תקווה,גני תקווה
געש,געש
גפן,גפן
גרופית,גרופית
גת,גת
גת רימון,גת רימון
דורות,דורות
דימונה,דימונה
דלית אל כרמל,דלית אל כרמל
דמיידה,דמיידה
דניאל,דניאל
דקל,דקל
הוד השרון,הוד השרון
הודיה,הודיה
הסוללים,הסוללים
הר אדר,הר אדר
הר גילה,הר גילה
הר הנגב,הר הנגב
הראל,הראל
הרדוף,הרדוף
הרצליה - מערב,הרצליה
הרצליה - מרכז וגליל ים,הרצליה
ואדי אל נעם דרום,ואדי אל נעם דרום
ורדון,ורדון
זבדיאל,זבדיאל
זוהר,זוהר
זיקים,זיקים
זיתן,זיתן
זכריה,זכריה
זמרת,זמרת
זנוח,זנוח
זרועה,זרועה
זרזיר,זרזיר
זרחיה,זרחיה
ח'וואלד,ח'וואלד
חג'אג'רה,חג'אג'רה
חגור,חגור
חדיד,חדיד
חוות שיקמים,חוות שיקמים
חולדה,חולדה
חולון,חולון
חולית,חולית
חורה,חורה
חורשים,חורשים
חי-בר יטבתה,חי-בר יטבתה
חיננית,חיננית
חירן,חירן
חלמיש,חלמיש
חלץ,חלץ
חמד,חמד
חפץ חיים,חפץ חיים
חצב,חצב
חצור,חצור
חצרים,חצרים
חרות,חרות
חשמונאים,חשמונאים
טייבה,טייבה
טירת יהודה,טירת יהודה
טל מנשה,טל מנשה
טל שחר,טל שחר
יבול,יבול
יבנה,יבנה
יגל,יגל
יד בנימין,יד בנימין
יד השמונה,יד השמונה
יד מרדכי,יד מרדכי
יד נתן,יד נתן
יד רמב''ם,יד רמב''ם
יהוד-מונוסון,יהוד-מונוסון
יהל,יהל
יושיביה,יושיביה
יטבתה,יטבתה
יכיני,יכיני
ינוב,ינוב
ינון,ינון
יסודות,יסודות
יציץ,יציץ
ירוחם,ירוחם
ירושלים - דרום,ירושלים
ירושלים - מזרח,ירושלים
ירושלים - מערב,ירושלים
ירושלים - מרכז,ירושלים
ירושלים - צפון,ירושלים
ירחיב,ירחיב
ירקונה,ירקונה
ישע,ישע
ישעי,ישעי
ישרש,ישרש
יתד,יתד
כאוכב אבו אלהיג'א,כאוכב אבו אלהיג'א
כוכב יאיר - צור יגאל,כוכב יאיר - צור יגאל
כוכב מיכאל,כוכב מיכאל
כיסופים,כיסופים
כנות,כנות
כסייפה,כסייפה
כסלון,כסלון
כעביה,כעביה
כעביה טבאש,כעביה טבאש
כפר אביב,כפר אביב
כפר אוריה,כפר אוריה
כפר אחים,כפר אחים
כפר ביל''ו,כפר ביל''ו
כפר בן נון,כפר בן נון
כפר ברא,כפר ברא
כפר דניאל,כפר דניאל
כפר האורנים,כפר האורנים
כפר הנגיד,כפר הנגיד
כפר הרי''ף וצומת ראם,כפר הרי''ף וצומת ראם
כפר ורבורג,כפר ורבורג
כפר זוהרים,כפר זוהרים
כפר חב''ד,כפר חב''ד
כפר טבאש,כפר טבאש
כפר טרומן,כפר טרומן
כפר יונה,כפר יונה
כפר מימון ותושיה,כפר מימון ותושיה
כפר מל''ל,כפר מל''ל
כפר מנדא,כפר מנדא
כפר מנחם,כפר מנחם
כפר מרדכי,כפר מרדכי
כפר נוער בן שמן,כפר נוער בן שמן
כפר סבא,כפר סבא
כפר סילבר,כפר סילבר
כפר סירקין,כפר סירקין
כפר עזה,כפר עזה
כפר עציון,כפר עציון
כפר קאסם,כפר קאסם
כפר רות,כפר רות
כפר שמואל,כפר שמואל
כפר שמריהו,כפר שמריהו
כרם ביבנה,כרם ביבנה
כרם מהר''ל,כרם מהר''ל
כרם שלום,כרם שלום
כרמי גת,כרמי גת
כרמי יוסף,כרמי יוסף
כרמיה,כרמיה
כרמים,כרמים
כרמית,כרמית
לוד,לוד
לוזית,לוזית
לוטן,לוטן
לטרון,לטרון
לכיש,לכיש
לפיד,לפיד
לקיה,לקיה
מאור,מאור
מבוא ביתר,מבוא ביתר
מבטחים,מבטחים
מבקיעים,מבקיעים
מבשרת ציון,מבשרת ציון
מגדל עוז,מגדל עוז
מגן,מגן
מגשימים,מגשימים
מדרשת בן גוריון,מדרשת בן גוריון
מודיעין,מודיעין
מודיעין - ישפרו סנטר,מודיעין
מודיעין עילית,מודיעין עילית
מוצא עילית,מוצא עילית
מורשת,מורשת
מזור,מזור
מזכרת בתיה,מזכרת בתיה
מחסיה,מחסיה
מטווח ניר עם,מטווח ניר עם
מטע,מטע
מישר,מישר
מכללת ספיר,שדרות
מלילות,מלילות
ממשית,ממשית
מנוחה,מנוחה
מנוף,מנוף
מנשית זבדה,מנשית זבדה
מסילת ציון,מסילת ציון
מסלול,מסלול
מעגלים,מעגלים
מעון צופיה,מעון צופיה
מעלה אדומים,מעלה אדומים
מעלה אפרים,מעלה אפרים
מעלה החמישה,מעלה החמישה
מעלה מכמש,מעלה מכמש
מענית,מענית
מעש,מעש
מפלסים,מפלסים
מצליח,מצליח
מקווה ישראל,חולון
מרכז אזורי דרום השרון,רמת השרון
מרכז אזורי משגב,סח'נין
מרכז שפירא,שפיר
מרעית,מרעית
משגב דב,משגב דב
משואות יצחק,משואות יצחק
משמר איילון,משמר איילון
משמר דוד,משמר דוד
משמר הנגב,משמר הנגב
משמר השבעה,משמר השבעה
משען,משען
מתחם בני דרום,אבן יהודה
מתחם פי גלילות,רמת השרון
מתחם צומת שוקת,כרמית
מתן,מתן
מתתיהו,מתתיהו
נאות סמדר,נאות סמדר
נבטים,נבטים
נבי סמואל,נבי סמואל
נגבה,נגבה
נהורה,נהורה
נוגה,נוגה
נווה,נווה
נווה אילן,נווה אילן
נווה דניאל,נווה דניאל
נווה חריף,נווה חריף
נווה ימין,נווה ימין
נווה ירק,נווה ירק
נווה מבטח,נווה מבטח
נווה מיכאל - רוגלית,נווה מיכאל - רוגלית
נווה שלום,נווה שלום
נועם,נועם
נוף איילון,נוף איילון
נופי פרת,נופי פרת
נופית,נופית
נופך,נופך
נחל עוז,נחל עוז
נחלה,נחלה
נחלים,נחלים
נחם,נחם
נחשון,נחשון
נחשונים,נחשונים
נטעים,נטעים
ניצן,ניצן
ניצנה,ניצנה
ניצנים,ניצנים
ניר אליהו,ניר אליהו
ניר בנים,ניר בנים
ניר גלים,ניר גלים
ניר ח''ן,ניר ח''ן
ניר יצחק,ניר יצחק
ניר ישראל,ניר ישראל
ניר משה,ניר משה
ניר עוז,ניר עוז
ניר עם,ניר עם
ניר צבי,ניר צבי
נירים,נירים
נירית,נירית
נס הרים,נס הרים
נס ציונה,נס ציונה
נען,נען
נצר חזני,נצר חזני
נצר סרני,נצר סרני
נתיב הל''ה,נתיב הל''ה
נתיב העשרה,נתיב העשרה
נתיבות,נתיבות
סביון,סביון
סגולה,סגולה
סואעד חמירה,סואעד חמירה
סופה,סופה
סינמה סיטי גלילות,הרצליה
סלעית,סלעית
סעד,סעד
סעייה-מולדה,סעייה-מולדה
סתריה,סתריה
עבדת,עבדת
עגור,עגור
עדי,עדי
עדנים,עדנים
עוזה,עוזה
עומר,עומר
עופר,עופר
עופרים,עופרים
עוצם,עוצם
עזר,עזר
עזריה,עזריה
עזריקם,עזריקם
עיינות,עיינות
עין הבשור,עין הבשור
עין השלושה,עין השלושה
עין נקובא,עין נקובא
עין צורים,עין צורים
עין ראפה,עין ראפה
עין שמר,עין שמר
עינת,עינת
עלומים,עלומים
עלי זהב,עלי זהב
עלמון,עלמון
עמוקה,עמוקה
עמינדב,עמינדב
עמיעוז,עמיעוז
ענב,ענב
עץ אפרים,עץ אפרים
ערד,ערד
ערוגות,ערוגות
ערערה בנגב,ערערה בנגב
עשאהל,עשאהל
עשרת,עשרת
פארק תעשיות פלמחים,ראשון לציון
פארק תעשייה ראם,גדרה
פדויים,פדויים
פדיה,פדיה
פטיש,פטיש
פלמחים,פלמחים
פנימיית עין כרם,ירושלים
פעמי תש''ז,פעמי תש''ז
פרדסיה,פרדסיה
פרי גן,פרי גן
פתח תקווה,פתח תקווה
פתחיה,פתחיה
צאלים,צאלים
צובה,צובה
צוחר,צוחר
צופים,צופים
צופית,צופית
צור הדסה,צור הדסה
צור יצחק,צור יצחק
צור משה,צור משה
צור נתן,צור נתן
צלפון,צלפון
צפריה,צפריה
צפרירים,צפרירים
צפת,צפת
צרעה,צרעה
קבוצת יבנה,קבוצת יבנה
קדימה-צורן,קדימה-צורן
קדמה,קדמה
קדרון,קדרון
קוממיות,קוממיות
קורנית,קורנית
קטורה,קטורה
קצר-א-סיר,קצר-א-סיר
קריית אונו,קריית אונו
קריית גת,קריית גת
קריית חינוך מרחבים,אופקים
קריית טבעון-בית זייד,קריית טבעון
קריית יערים,קריית יערים
קריית מלאכי,קריית מלאכי
קריית ענבים,קריית ענבים
קריית עקרון,קריית עקרון
ראס עלי,ראס עלי
ראש העין,ראש העיו
ראש צורים,ראש צורים
ראשון לציון - מזרח,ראשון לציון
ראשון לציון - מערב,ראשון לציון
רבדים,רבדים
רהט,רהט
רווחה,רווחה
רחובות,רחובות
רטורנו - גבעת שמש,דיר ראפאת
ריחן,ריחן
רינתיה,רינתיה
רמות השבים,רמות השבים
רמות מאיר,רמות מאיר
רמלה,רמלה
רמת גן - מזרח,רמת גן
רמת גן - מערב,רמת גן
רמת השרון,רמת השרון
רמת ישי,רמת ישי
רמת רזיאל,רמת רזיאל
רנן,רנן
רעים,רעים
רעננה,רעננה
רקפת,רקפת
רשפון,רשפון
שאנטי במדבר,שאנטי במדבר
שגב שלום,שגב שלום
שדה אברהם,שדה אברהם
שדה דוד,שדה דוד
שדה ורבורג,שדה ורבורג
שדה יואב,שדה יואב
שדה משה,שדה משה
שדה ניצן,שדה ניצן
שדה עוזיהו,שדה עוזיהו
שדה צבי,שדה צבי
שדות מיכה,שדות מיכה
שדי חמד,שדי חמד
שדמה,שדמה
שדרות,שדרות
שהם,שהם
שואבה,שואבה
שובה,שובה
שוקדה,שוקדה
שורש,שורש
שחר,שחר
שחרות,שחרות
שיבולים,שיבולים
שיטים,שיטים
שילת,שילת
שכניה,שכניה
שלומית,שלומית
שעלבים,שעלבים
שער מנשה,שער מנשה
שערי תקווה,שערי תקווה
שפיים,שפיים
שפיר,שפיר
שפרעם,שפרעם
שקד,שקד
שריגים - ליאון,שריגים - ליאון
שרשרת,שרשרת
שתולים,שתולים
תארבין,תארבין
תאשור,תאשור
תדהר,תדהר
תחנת רכבת ראש העין,ראש העין
תימורים,תימורים
תירוש,תירוש
תל אביב - דרום העיר ויפו,תל אביב
תל אביב - מזרח,תל אביב
תל אביב - מרכז העיר,תל אביב
תל אביב - עבר הירקון,תל אביב
תל ערד,תל ערד
תל שבע,תל שבע
תלמי אליהו,תלמי אליהו
תלמי אלעזר,תלמי אלעזר
תלמי ביל''ו,תלמי ביל''ו
תלמי יוסף,תלמי יוסף
תלמי יחיאל,תלמי יחיאל
תלמי יפה,תלמי יפה
תלמים,תלמים
תעוז,תעוז
תעשיון חצב,ראש העין
תעשיון צריפין,ראשון לציון
תפרח,תפרח
תקומה,תקומה
תקומה וחוות יזרעם,תקומה
תרום,תרום
